Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:2
AllSlavesArrived:1
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:3
channel;9;slave-master;4;1;201
channel;9;slave-master;4;2;170
channel;9;slave-master;4;4;165
channel;9;slave-master;4;8;157
channel;9;slave-master;4;16;152
channel;9;slave-master;4;32;164
channel;9;slave-master;4;64;187
channel;9;slave-master;4;128;199
channel;9;slave-master;4;256;199
channel;9;slave-master;4;512;197
channel;9;slave-master;4;1024;198
channel;9;slave-master;4;2048;199
channel;9;slave-master;4;4096;270
channel;9;slave-master;4;8192;299
channel;9;slave-master;4;16384;377
channel;9;slave-master;4;32768;613
channel;9;slave-master;4;65536;1009
channel;9;slave-master;4;131072;1807
channel;9;slave-master;4;262144;3403
channel;9;slave-master;4;524288;6598
channel;9;slave-master;4;1048576;13010
UsandoChannel!
channel;10;master-slave;4;1;78
channel;10;master-slave;4;2;77
channel;10;master-slave;4;4;76
channel;10;master-slave;4;8;73
channel;10;master-slave;4;16;74
channel;10;master-slave;4;32;77
channel;10;master-slave;4;64;75
channel;10;master-slave;4;128;76
channel;10;master-slave;4;256;82
channel;10;master-slave;4;512;91
channel;10;master-slave;4;1024;109
channel;10;master-slave;4;2048;147
channel;10;master-slave;4;4096;224
channel;10;master-slave;4;8192;368
channel;10;master-slave;4;16384;668
channel;10;master-slave;4;32768;1265
channel;10;master-slave;4;65536;2452
channel;10;master-slave;4;131072;4829
channel;10;master-slave;4;262144;9587
channel;10;master-slave;4;524288;19105
channel;10;master-slave;4;1048576;38122
channel;10;slave-master;4;1;200
channel;10;slave-master;4;2;165
channel;10;slave-master;4;4;179
channel;10;slave-master;4;8;175
channel;10;slave-master;4;16;175
channel;10;slave-master;4;32;175
channel;10;slave-master;4;64;187
channel;10;slave-master;4;128;185
channel;10;slave-master;4;256;187
channel;10;slave-master;4;512;198
channel;10;slave-master;4;1024;202
channel;10;slave-master;4;2048;199
channel;10;slave-master;4;4096;275
channel;10;slave-master;4;8192;293
channel;10;slave-master;4;16384;377
channel;10;slave-master;4;32768;607
channel;10;slave-master;4;65536;1007
channel;10;slave-master;4;131072;1809
channel;10;slave-master;4;262144;3404
channel;10;slave-master;4;524288;6599
channel;10;slave-master;4;1048576;13008
UsandoChannel!
channel;11;master-slave;4;1;77
channel;11;master-slave;4;2;76
channel;11;master-slave;4;4;77
channel;11;master-slave;4;8;73
channel;11;master-slave;4;16;79
channel;11;master-slave;4;32;76
channel;11;master-slave;4;64;74
channel;11;master-slave;4;128;76
channel;11;master-slave;4;256;82
channel;11;master-slave;4;512;96
channel;11;master-slave;4;1024;114
channel;11;master-slave;4;2048;147
channel;11;master-slave;4;4096;225
channel;11;master-slave;4;8192;368
channel;11;master-slave;4;16384;669
channel;11;master-slave;4;32768;1261
channel;11;master-slave;4;65536;2453
channel;11;master-slave;4;131072;4829
channel;11;master-slave;4;262144;9586
channel;11;master-slave;4;524288;19104
channel;11;master-slave;4;1048576;38121
channel;11;slave-master;4;1;202
channel;11;slave-master;4;2;164
channel;11;slave-master;4;4;196
channel;11;slave-master;4;8;153
channel;11;slave-master;4;16;176
channel;11;slave-master;4;32;174
channel;11;slave-master;4;64;198
channel;11;slave-master;4;128;197
channel;11;slave-master;4;256;198
channel;11;slave-master;4;512;198
channel;11;slave-master;4;1024;197
channel;11;slave-master;4;2048;200
channel;11;slave-master;4;4096;271
channel;11;slave-master;4;8192;296
channel;11;slave-master;4;16384;377
channel;11;slave-master;4;32768;613
channel;11;slave-master;4;65536;1012
channel;11;slave-master;4;131072;1807
channel;11;slave-master;4;262144;3408
channel;11;slave-master;4;524288;6599
channel;11;slave-master;4;1048576;13009
UsandoChannel!
channel;12;master-slave;4;1;78
channel;12;master-slave;4;2;77
channel;12;master-slave;4;4;77
channel;12;master-slave;4;8;74
channel;12;master-slave;4;16;74
channel;12;master-slave;4;32;77
channel;12;master-slave;4;64;74
channel;12;master-slave;4;128;81
channel;12;master-slave;4;256;81
channel;12;master-slave;4;512;91
channel;12;master-slave;4;1024;109
channel;12;master-slave;4;2048;146
channel;12;master-slave;4;4096;220
channel;12;master-slave;4;8192;368
channel;12;master-slave;4;16384;669
channel;12;master-slave;4;32768;1260
channel;12;master-slave;4;65536;2457
channel;12;master-slave;4;131072;4825
channel;12;master-slave;4;262144;9592
channel;12;master-slave;4;524288;19104
channel;12;master-slave;4;1048576;38121
channel;12;slave-master;4;1;203
channel;12;slave-master;4;2;176
channel;12;slave-master;4;4;166
channel;12;slave-master;4;8;165
channel;12;slave-master;4;16;165
channel;12;slave-master;4;32;187
channel;12;slave-master;4;64;197
channel;12;slave-master;4;128;187
channel;12;slave-master;4;256;198
channel;12;slave-master;4;512;197
channel;12;slave-master;4;1024;198
channel;12;slave-master;4;2048;200
channel;12;slave-master;4;4096;271
channel;12;slave-master;4;8192;294
channel;12;slave-master;4;16384;377
channel;12;slave-master;4;32768;613
channel;12;slave-master;4;65536;1007
channel;12;slave-master;4;131072;1811
channel;12;slave-master;4;262144;3404
channel;12;slave-master;4;524288;6598
channel;12;slave-master;4;1048576;13015
UsandoChannel!
channel;13;master-slave;4;1;77
channel;13;master-slave;4;2;77
channel;13;master-slave;4;4;76
channel;13;master-slave;4;8;73
channel;13;master-slave;4;16;74
channel;13;master-slave;4;32;77
channel;13;master-slave;4;64;74
channel;13;master-slave;4;128;77
channel;13;master-slave;4;256;80
channel;13;master-slave;4;512;91
channel;13;master-slave;4;1024;109
channel;13;master-slave;4;2048;146
channel;13;master-slave;4;4096;220
channel;13;master-slave;4;8192;368
channel;13;master-slave;4;16384;669
channel;13;master-slave;4;32768;1260
channel;13;master-slave;4;65536;2453
channel;13;master-slave;4;131072;4834
channel;13;master-slave;4;262144;9592
channel;13;master-slave;4;524288;19105
channel;13;master-slave;4;1048576;38120
channel;13;slave-master;4;1;185
channel;13;slave-master;4;2;187
channel;13;slave-master;4;4;176
channel;13;slave-master;4;8;153
channel;13;slave-master;4;16;175
channel;13;slave-master;4;32;181
channel;13;slave-master;4;64;181
channel;13;slave-master;4;128;185
channel;13;slave-master;4;256;199
channel;13;slave-master;4;512;198
channel;13;slave-master;4;1024;199
channel;13;slave-master;4;2048;203
channel;13;slave-master;4;4096;271
channel;13;slave-master;4;8192;300
channel;13;slave-master;4;16384;376
channel;13;slave-master;4;32768;609
channel;13;slave-master;4;65536;1008
channel;13;slave-master;4;131072;1806
channel;13;slave-master;4;262144;3403
channel;13;slave-master;4;524288;6603
channel;13;slave-master;4;1048576;13010
UsandoChannel!
channel;14;master-slave;4;1;78
channel;14;master-slave;4;2;81
channel;14;master-slave;4;4;75
channel;14;master-slave;4;8;73
channel;14;master-slave;4;16;74
channel;14;master-slave;4;32;76
channel;14;master-slave;4;64;79
channel;14;master-slave;4;128;76
channel;14;master-slave;4;256;81
channel;14;master-slave;4;512;90
channel;14;master-slave;4;1024;109
channel;14;master-slave;4;2048;147
channel;14;master-slave;4;4096;220
channel;14;master-slave;4;8192;374
